Season_End_Year,Wk,Date,Home,HomeGoals,AwayGoals,Away,FTR,B365H,B365D,B365A
2011,14,2011-03-05,Leverkusen,3,0,Wolfsburg,H,1.57,4.0,5.5
2011,14,2011-03-05,M'gladbach,2,0,Hoffenheim,H,2.6,3.4,2.6
2011,14,2011-03-05,Stuttgart,1,0,Schalke 04,H,2.1,3.4,3.4
2011,14,2011-03-06,Hamburg,2,4,Mainz,A,1.91,3.4,4.0
2011,15,2011-03-06,Freiburg,1,3,Werder Bremen,A,2.38,3.4,2.88
2011,15,2011-03-11,FC Koln,4,0,Hannover,H,2.4,3.3,2.9
2011,15,2011-03-12,Bayern Munich,6,0,Hamburg,H,1.53,4.0,6.0
2011,15,2011-03-12,Hoffenheim,1,0,Dortmund,H,4.75,3.6,1.73
2011,15,2011-03-12,Kaiserslautern,2,1,Freiburg,H,2.15,3.3,3.4
2011,15,2011-03-12,Schalke 04,2,1,Ein Frankfurt,H,1.67,3.5,5.5
2011,15,2011-03-12,Werder Bremen,1,1,M'gladbach,D,1.67,3.75,5.0
2011,15,2011-03-12,Wolfsburg,1,2,Nurnberg,A,2.2,3.4,3.2
2011,15,2011-03-13,Mainz,0,1,Leverkusen,A,3.25,3.3,2.2
2011,15,2011-03-13,St Pauli,1,2,Stuttgart,A,3.2,3.4,2.2
2011,15,2011-03-18,M'gladbach,0,1,Kaiserslautern,A,2.25,3.4,3.1
2011,15,2011-03-19,Hannover,2,0,Hoffenheim,H,2.25,3.4,3.1
2011,15,2011-03-19,Hamburg,6,2,FC Koln,H,1.7,3.6,4.75
2011,15,2011-03-19,Dortmund,1,1,Mainz,D,1.4,4.33,8.5
2011,15,2011-03-19,Ein Frankfurt,2,1,St Pauli,H,2.0,3.4,3.7
2011,15,2011-03-19,Nurnberg,1,3,Werder Bremen,A,2.2,3.4,3.2
2011,16,2011-03-19,Freiburg,1,2,Bayern Munich,A,6.5,4.1,1.5
2011,16,2011-03-20,Stuttgart,1,1,Wolfsburg,D,1.95,3.5,3.75
2011,16,2011-03-20,Leverkusen,2,0,Schalke 04,H,1.75,3.6,4.5
2011,16,2011-04-01,St Pauli,0,2,Schalke 04,A,3.4,3.25,2.15
2011,16,2011-04-02,Mainz,1,1,Freiburg,D,1.85,3.6,4.0
2011,16,2011-04-02,Werder Bremen,1,1,Stuttgart,D,2.2,3.4,3.2
2011,16,2011-04-02,Kaiserslautern,0,1,Leverkusen,A,3.6,3.5,2.0
2011,16,2011-04-02,Bayern Munich,1,0,M'gladbach,H,1.17,7.0,15.0
2011,16,2011-04-02,Dortmund,4,1,Hannover,H,1.4,4.5,8.0
2011,16,2011-04-02,Hoffenheim,0,0,Hamburg,D,2.5,3.3,2.75
2011,16,2011-04-03,FC Koln,1,0,Nurnberg,H,2.38,3.3,2.9
2011,16,2011-04-03,Wolfsburg,1,1,Ein Frankfurt,D,1.8,3.5,4.5
2011,16,2011-04-08,Ein Frankfurt,1,1,Werder Bremen,D,2.8,3.4,2.4
2011,16,2011-04-09,Schalke 04,1,0,Wolfsburg,H,2.2,3.4,3.2
2011,16,2011-04-09,Freiburg,3,2,Hoffenheim,H,2.6,3.25,2.7
2011,16,2011-04-09,Hamburg,1,1,Dortmund,D,3.1,3.5,2.2
2011,17,2011-04-09,Hannover,2,0,Mainz,H,2.2,3.3,3.25
2011,17,2011-04-09,Nurnberg,1,1,Bayern Munich,D,5.25,4.0,1.6
2011,17,2011-04-09,Stuttgart,2,4,Kaiserslautern,A,1.73,3.75,4.5
2011,17,2011-04-10,M'gladbach,5,1,FC Koln,H,2.25,3.4,3.1
2011,17,2011-04-10,Leverkusen,2,1,St Pauli,H,1.2,6.0,15.0
2011,17,2011-04-15,Mainz,1,0,M'gladbach,H,1.91,3.6,3.75
2011,17,2011-04-16,Wolfsburg,2,2,St Pauli,D,1.5,4.2,6.5
2011,17,2011-04-16,Werder Bremen,1,1,Schalke 04,D,2.1,3.4,3.4
2011,17,2011-04-16,Kaiserslautern,0,2,Nurnberg,A,2.25,3.4,3.1
2011,17,2011-04-16,FC Koln,1,3,Stuttgart,A,2.5,3.4,2.7
2011,17,2011-04-16,Hamburg,0,0,Hannover,D,1.91,3.6,3.75
2011,17,2011-04-16,Hoffenheim,1,0,Ein Frankfurt,H,2.0,3.5,3.6
2011,17,2011-04-17,Bayern Munich,5,1,Leverkusen,H,1.83,3.75,4.0
2011,17,2011-04-17,Dortmund,3,0,Freiburg,H,1.29,5.5,9.5
2011,17,2011-04-21,Freiburg,1,3,Hannover,A,2.5,3.3,2.8
2011,17,2011-04-23,Stuttgart,3,0,Hamburg,H,2.1,3.4,3.4
2011,18,2011-04-23,St Pauli,1,3,Werder Bremen,A,3.25,3.5,2.1
2011,18,2011-04-23,Schalke 04,0,1,Kaiserslautern,A,2.0,3.4,3.75
2011,18,2011-04-23,Leverkusen,2,1,Hoffenheim,H,1.53,4.0,6.0
