Season_End_Year,Wk,Date,Home,HomeGoals,AwayGoals,Away,FTR,B365H,B365D,B365A
2011,14,2011-02-26,Rennes,2,0,Lens,H,1.73,3.5,5.0
2011,14,2011-02-26,St Etienne,0,2,Nice,A,1.75,3.3,5.25
2011,14,2011-02-26,Bordeaux,3,0,Auxerre,H,1.75,3.3,5.25
2011,14,2011-02-26,Arles,1,1,Brest,D,3.2,3.0,2.38
2011,14,2011-02-26,Monaco,2,2,Caen,D,1.91,3.1,4.5
2011,14,2011-02-27,Lille,1,1,Lyon,D,2.1,3.25,3.6
2011,14,2011-02-27,Nancy,1,2,Marseille,A,3.75,3.2,2.05
2011,14,2011-02-27,Paris SG,2,1,Toulouse,H,1.62,3.6,6.0
2011,14,2011-03-05,Valenciennes,0,0,Monaco,D,2.1,3.1,3.75
2011,14,2011-03-05,Nice,0,0,Lens,D,2.2,3.1,3.5
2011,15,2011-03-05,Montpellier,0,1,Rennes,A,2.3,3.1,3.2
2011,15,2011-03-05,Toulouse,0,1,Sochaux,A,1.9,3.25,4.33
2011,15,2011-03-05,Caen,1,0,St Etienne,H,2.38,3.1,3.1
2011,15,2011-03-05,Auxerre,1,0,Paris SG,H,3.25,3.1,2.3
2011,15,2011-03-05,Lorient,0,0,Nancy,D,1.8,3.3,4.75
2011,15,2011-03-06,Brest,1,3,Bordeaux,A,2.75,3.1,2.63
2011,15,2011-03-06,Lyon,5,0,Arles,H,1.2,6.0,15.0
2011,15,2011-03-06,Marseille,1,2,Lille,A,2.1,3.25,3.6
2011,15,2011-03-11,Rennes,0,2,Marseille,A,2.63,3.0,2.88
2011,15,2011-03-12,St Etienne,2,0,Brest,H,1.91,3.3,4.2
2011,15,2011-03-12,Arles,3,3,Lorient,D,4.0,3.2,2.0
2011,15,2011-03-12,Lens,0,1,Toulouse,A,2.5,3.0,3.0
2011,15,2011-03-12,Nancy,2,0,Caen,H,2.1,3.2,3.6
2011,15,2011-03-12,Nice,1,0,Auxerre,H,2.5,3.0,3.0
2011,15,2011-03-12,Sochaux,0,2,Lyon,A,3.6,3.25,2.1
2011,15,2011-03-13,Paris SG,2,2,Montpellier,D,1.7,3.4,5.5
2011,15,2011-03-13,Bordeaux,0,1,Monaco,A,1.83,3.25,4.75
2011,15,2011-03-13,Lille,2,1,Valenciennes,H,1.44,4.0,8.0
2011,16,2011-03-19,Auxerre,2,0,Sochaux,H,2.05,3.2,3.75
2011,16,2011-03-19,Brest,1,2,Lille,A,4.33,3.2,1.91
2011,16,2011-03-19,Lorient,0,0,St Etienne,D,2.05,3.2,3.8
2011,16,2011-03-19,Lyon,1,1,Rennes,D,1.8,3.3,4.75
2011,16,2011-03-19,Montpellier,1,4,Lens,A,1.8,3.4,4.6
2011,16,2011-03-19,Toulouse,1,1,Nice,D,1.8,3.25,5.25
2011,16,2011-03-19,Valenciennes,2,2,Bordeaux,D,2.5,3.0,3.0
2011,16,2011-03-20,Marseille,2,1,Paris SG,H,2.0,3.2,4.0
2011,16,2011-03-20,Caen,2,0,Arles,H,1.6,3.5,6.5
2011,16,2011-03-20,Monaco,0,1,Nancy,A,2.0,3.1,4.1
2011,16,2011-04-02,Sochaux,2,1,Brest,H,1.95,3.2,4.2
2011,16,2011-04-02,Rennes,0,0,Auxerre,D,1.7,3.4,5.5
2011,16,2011-04-02,Paris SG,0,0,Lorient,D,1.73,3.4,5.25
2011,16,2011-04-02,Arles,0,2,Monaco,A,4.33,3.25,1.91
2011,16,2011-04-02,Lille,3,1,Caen,H,1.3,4.75,12.0
2011,16,2011-04-02,Toulouse,0,1,Montpellier,A,2.2,3.0,3.6
2011,16,2011-04-02,Nancy,0,0,Bordeaux,D,2.7,2.9,2.88
2011,16,2011-04-03,Nice,2,2,Lyon,D,4.75,3.2,1.85
2011,17,2011-04-03,St Etienne,1,1,Valenciennes,D,2.0,3.2,4.0
2011,17,2011-04-03,Lens,0,1,Marseille,A,3.8,3.2,2.05
2011,17,2011-04-09,Valenciennes,1,1,Nancy,D,1.91,3.25,4.2
2011,17,2011-04-09,Monaco,1,0,Lille,H,3.75,3.2,2.05
2011,17,2011-04-09,Lorient,1,1,Sochaux,D,1.85,3.3,4.5
2011,17,2011-04-09,Bordeaux,0,0,Arles,D,1.29,5.0,12.0
2011,17,2011-04-09,Brest,2,0,Rennes,H,3.25,3.0,2.38
2011,17,2011-04-09,Auxerre,2,2,St Etienne,D,2.1,3.1,3.75
2011,17,2011-04-09,Caen,1,2,Paris SG,A,3.5,3.1,2.2
2011,17,2011-04-10,Lyon,3,0,Lens,H,1.33,4.5,11.0
2011,17,2011-04-10,Marseille,2,2,Toulouse,D,1.44,4.0,8.0
2011,17,2011-04-10,Montpellier,1,1,Nice,D,1.73,3.3,5.5
2011,17,2011-04-16,Toulouse,0,1,Auxerre,A,2.1,3.0,3.9
2011,17,2011-04-16,St Etienne,2,1,Nancy,H,1.95,3.2,4.1
2011,17,2011-04-16,Sochaux,3,2,Caen,H,1.95,3.2,4.1
2011,17,2011-04-16,Nice,3,2,Monaco,H,2.5,3.0,3.0
2011,17,2011-04-16,Lille,1,1,Bordeaux,D,1.62,3.6,5.75
2011,17,2011-04-16,Lens,1,1,Brest,D,2.0,3.1,4.1
2011,18,2011-04-16,Rennes,1,2,Lorient,A,1.91,3.1,4.5
2011,18,2011-04-17,Paris SG,1,0,Lyon,H,2.55,3.0,2.9
2011,18,2011-04-17,Arles,0,1,Valenciennes,A,4.0,3.25,1.95
2011,18,2011-04-17,Montpellier,1,2,Marseille,A,3.5,3.0,2.25
2011,18,2011-04-24,Nancy,0,0,Arles,D,1.5,3.75,7.5
2011,18,2011-04-24,Brest,2,2,Paris SG,D,3.25,3.1,2.3
2011,18,2011-04-24,Valenciennes,1,1,Sochaux,D,2.05,3.1,4.0
2011,18,2011-04-24,Monaco,1,0,Rennes,H,2.2,3.0,3.6
2011,18,2011-04-24,Auxerre,1,1,Lens,D,2.0,3.1,4.2
2011,18,2011-04-24,Caen,1,1,Toulouse,D,2.5,3.0,3.0
2011,18,2011-04-24,Lorient,1,1,Lille,D,3.25,3.1,2.3
2011,18,2011-04-24,Bordeaux,2,0,St Etienne,H,1.91,3.4,4.0
2011,18,2011-04-27,Lyon,3,2,Montpellier,H,1.4,4.33,8.5
2011,18,2011-04-27,Marseille,4,2,Nice,H,1.4,4.33,8.5
2011,18,2011-04-30,Sochaux,1,0,Nancy,H,2.0,3.3,3.8
2011,18,2011-04-30,Lens,2,3,Lorient,A,2.4,3.0,3.2
2011,18,2011-04-30,Lille,5,0,Arles,H,1.14,7.5,17.0
2011,18,2011-04-30,Paris SG,3,1,Valenciennes,H,1.5,3.8,7.5
2011,19,2011-04-30,Rennes,0,0,Bordeaux,D,2.25,3.1,3.4
2011,19,2011-05-01,Toulouse,2,0,Lyon,H,4.1,3.1,2.0
2011,19,2011-05-01,St Etienne,1,1,Monaco,D,2.1,3.1,3.75
2011,19,2011-05-01,Marseille,1,1,Auxerre,D,1.4,4.33,8.5
2011,19,2011-05-01,Montpellier,0,0,Brest,D,1.95,3.2,4.2
2011,19,2011-05-01,Nice,0,4,Caen,A,2.05,3.2,3.8
2011,19,2011-05-07,Caen,1,1,Lens,D,2.1,3.1,3.8
2011,19,2011-05-07,Monaco,1,1,Paris SG,D,3.25,3.0,2.38
2011,19,2011-05-07,Lorient,0,0,Toulouse,D,2.0,3.2,4.0
2011,19,2011-05-07,Nancy,0,1,Lille,A,4.0,3.2,2.0
2011,19,2011-05-07,Brest,0,0,Nice,D,2.0,3.0,4.33
2011,19,2011-05-07,Auxerre,1,0,Montpellier,H,2.2,3.0,3.6
2011,19,2011-05-07,Arles,0,1,St Etienne,A,4.2,3.25,1.91
2011,19,2011-05-07,Bordeaux,0,4,Sochaux,A,1.75,3.4,5.0
2011,19,2011-05-08,Lyon,3,2,Marseille,H,2.25,3.2,3.25
2011,19,2011-05-08,Valenciennes,2,0,Rennes,H,2.4,3.0,3.2
2011,19,2011-05-10,Paris SG,2,2,Nancy,D,1.44,4.2,7.5
