Season_End_Year,Wk,Date,Home,HomeGoals,AwayGoals,Away,FTR,B365H,B365D,B365A
2012,21,2012-09-01,Figueirense,2,2,Fluminense,D,3.05,3.18,2.29
2012,21,2012-09-02,Ponte Preta,3,1,Atletico GO,H,2.0,3.29,3.59
2012,21,2012-09-02,Vasco,2,0,Portuguesa,H,1.64,3.61,5.18
2012,21,2012-09-02,Bahia,1,0,Sao Paulo,H,2.85,3.17,2.4
2012,21,2012-09-02,Corinthians,1,0,Atletico-MG,H,2.24,3.22,3.08
2012,21,2012-09-02,Internacional,4,1,Flamengo RJ,H,1.65,3.61,5.07
2012,21,2012-09-02,Sport Recife,2,1,Santos,H,2.43,3.15,2.82
2012,21,2012-09-02,Botafogo RJ,2,0,Coritiba,H,1.88,3.4,3.94
2012,21,2012-09-02,Cruzeiro,3,0,Nautico,H,1.56,3.8,5.67
2012,21,2012-09-05,Nautico,1,1,Vasco,D,2.35,3.23,2.89
2012,22,2012-09-05,Portuguesa,3,0,Coritiba,H,1.96,3.37,3.63
2012,22,2012-09-05,Bahia,0,0,Atletico-MG,D,2.87,3.15,2.41
2012,22,2012-09-05,Flamengo RJ,0,1,Ponte Preta,A,2.02,3.33,3.48
2012,22,2012-09-06,Gremio,2,1,Atletico GO,H,1.38,4.36,8.09
2012,22,2012-09-06,Cruzeiro,1,3,Botafogo RJ,A,1.9,3.42,3.8
2012,22,2012-09-06,Figueirense,1,0,Corinthians,H,2.54,3.17,2.68
2012,22,2012-09-06,Sao Paulo,1,1,Internacional,D,1.82,3.44,4.15
2012,22,2012-09-07,Fluminense,3,1,Santos,H,1.65,3.62,4.98
2012,22,2012-09-07,Palmeiras,3,1,Sport Recife,H,1.53,3.8,6.09
2012,22,2012-09-08,Coritiba,3,0,Flamengo RJ,H,1.71,3.62,4.63
2012,23,2012-09-08,Ponte Preta,2,2,Figueirense,D,1.76,3.54,4.32
2012,23,2012-09-09,Vasco,0,4,Bahia,A,1.57,3.74,5.68
2012,23,2012-09-09,Sport Recife,2,1,Cruzeiro,H,2.54,3.17,2.68
2012,23,2012-09-09,Atletico-MG,3,0,Palmeiras,H,1.57,3.74,5.72
2012,23,2012-09-09,Atletico GO,1,1,Portuguesa,D,2.32,3.23,2.93
2012,23,2012-09-09,Botafogo RJ,3,1,Nautico,H,1.65,3.67,5.0
2012,23,2012-09-09,Internacional,0,1,Fluminense,A,2.53,3.17,2.7
2012,23,2012-09-09,Corinthians,3,1,Gremio,H,2.48,3.15,2.77
2012,23,2012-09-09,Santos,0,0,Sao Paulo,D,3.05,3.25,2.25
2012,23,2012-09-12,Corinthians,1,1,Ponte Preta,D,1.66,3.61,4.98
2012,24,2012-09-12,Figueirense,2,0,Cruzeiro,H,2.26,3.29,3.0
2012,24,2012-09-12,Portuguesa,0,2,Fluminense,A,2.84,3.22,2.41
2012,24,2012-09-13,Vasco,3,1,Palmeiras,H,2.07,3.21,3.56
2012,24,2012-09-13,Santos,2,0,Flamengo RJ,H,1.65,3.68,4.95
2012,24,2012-09-13,Atletico GO,1,2,Coritiba,A,2.29,3.29,2.95
2012,24,2012-09-13,Sport Recife,1,1,Bahia,D,2.33,3.22,2.95
2012,24,2012-09-13,Atletico-MG,1,0,Sao Paulo,H,1.69,3.65,4.71
2012,24,2012-09-14,Botafogo RJ,1,1,Internacional,D,2.23,3.24,3.11
2012,24,2012-09-14,Gremio,2,0,Nautico,H,1.29,5.09,9.54
2012,24,2012-09-15,Sao Paulo,3,1,Portuguesa,H,1.61,3.7,5.28
2012,25,2012-09-15,Fluminense,1,2,Atletico GO,A,1.46,4.13,6.61
2012,25,2012-09-16,Ponte Preta,0,0,Botafogo RJ,D,2.26,3.27,3.01
2012,25,2012-09-16,Internacional,2,2,Sport Recife,D,1.35,4.53,8.53
2012,25,2012-09-16,Flamengo RJ,1,1,Gremio,D,2.75,3.2,2.46
2012,25,2012-09-16,Palmeiras,0,2,Corinthians,A,2.52,3.08,2.77
2012,25,2012-09-16,Nautico,1,0,Atletico-MG,H,2.88,3.24,2.34
2012,25,2012-09-16,Coritiba,1,2,Santos,A,2.02,3.35,3.46
2012,25,2012-09-16,Bahia,2,1,Figueirense,H,1.82,3.44,4.16
2012,25,2012-09-16,Cruzeiro,1,1,Vasco,D,2.51,3.17,2.73
2012,25,2012-09-22,Figueirense,1,3,Palmeiras,A,2.56,3.23,2.62
2012,26,2012-09-22,Fluminense,2,1,Nautico,H,1.34,4.54,8.61
2012,26,2012-09-23,Atletico-MG,0,0,Gremio,D,1.94,3.36,3.75
2012,26,2012-09-23,Sport Recife,1,0,Coritiba,H,2.19,3.32,3.1
2012,26,2012-09-23,Internacional,3,1,Bahia,H,1.44,4.11,7.0
2012,26,2012-09-23,Sao Paulo,1,0,Cruzeiro,H,1.56,3.83,5.75
2012,26,2012-09-23,Atletico GO,1,2,Flamengo RJ,A,2.22,3.29,3.07
2012,26,2012-09-23,Botafogo RJ,2,2,Corinthians,D,2.05,3.27,3.49
2012,26,2012-09-23,Santos,1,3,Portuguesa,A,2.14,3.26,3.25
2012,26,2012-09-23,Ponte Preta,0,0,Vasco,D,2.5,3.2,2.71
2012,26,2012-09-27,Flamengo RJ,2,1,Atletico-MG,H,3.02,3.26,2.28
2012,27,2012-09-29,Cruzeiro,0,0,Internacional,D,2.88,3.16,2.4
2012,27,2012-09-29,Nautico,2,0,Atletico GO,H,1.67,3.65,4.78
2012,27,2012-09-29,Portuguesa,1,1,Atletico-MG,D,2.64,3.21,2.55
2012,27,2012-09-29,Vasco,3,1,Figueirense,H,1.51,3.99,6.04
2012,27,2012-09-30,Gremio,1,1,Santos,D,1.68,3.7,4.7
2012,27,2012-09-30,Flamengo RJ,0,1,Fluminense,A,3.41,3.25,2.09
2012,27,2012-09-30,Coritiba,1,1,Sao Paulo,D,2.37,3.24,2.85
2012,27,2012-09-30,Bahia,2,0,Botafogo RJ,H,2.45,3.24,2.75
2012,27,2012-09-30,Palmeiras,3,0,Ponte Preta,H,1.6,3.7,5.41
2012,27,2012-09-30,Corinthians,3,0,Sport Recife,H,1.48,3.9,6.77
2012,28,2012-10-05,Coritiba,1,0,Ponte Preta,H,1.69,3.64,4.73
2012,28,2012-10-05,Flamengo RJ,0,0,Bahia,D,1.96,3.32,3.73
2012,28,2012-10-05,Portuguesa,5,1,Sport Recife,H,1.62,3.67,5.25
2012,28,2012-10-06,Fluminense,1,0,Botafogo RJ,H,2.08,3.27,3.42
2012,28,2012-10-06,Gremio,2,1,Cruzeiro,H,1.51,3.94,6.07
